owner_phone,transaction_id,datetime,date,time,amount,currency,type,target_party,description,category,is_financial,medium
+919619183585,5062897646594,2024-03-29T06:24:03,2024-03-29,06:24:03,1197.60,Rs,debit,bigbasket@icici,"Ref:5062897646594, to bigbasket@icici, AvlBal:Rs2655.58",Financial - High Confidence,true,UPI
+919619183585,5685612046652,2024-05-24T00:28:20,2024-05-24,00:28:20,1854.99,Rs.,debit,mahanagargas@sbi,"Ref:5685612046652, to mahanagargas@sbi, AvlBal:Rs11214.97",Financial - High Confidence,true,UPI
+919619183585,1131931911520,2025-10-17T23:31:20,2025-10-17,23:31:20,2193.51,Rs.,debit,aayushsingh66@okicici,"Ref:1131931911520, to aayushsingh66@okicici, AvlBal:Rs2207.13",Financial - High Confidence,true,
+919619183585,4093122779987,2024-03-22T07:16:39,2024-03-22,07:16:39,1703.07,Rs,debit,swiggy@okhdfc,"Ref:4093122779987, to swiggy@okhdfc, AvlBal:Rs10089.24",Financial - High Confidence,true,
+919619183585,3411128932124,2024-01-04T21:04:12,2024-01-04,21:04:12,3415.49,Rs,debit,aayushsingh66@okicici,"Ref:3411128932124, to aayushsingh66@okicici, AvlBal:Rs13341.39",Financial - High Confidence,true,UPI
+919619183585,1946644804756,2024-05-20T17:37:58,2024-05-20,17:37:58,2001.39,Rs,debit,swiggy@okhdfc,"Ref:1946644804756, to swiggy@okhdfc, AvlBal:Rs8549.01",Financial - High Confidence,true,UPI
+919619183585,3233791011941,2024-06-18T01:28:53,2024-06-18,01:28:53,1407.83,INR,debit,dmart@paytm,"Ref:3233791011941, to dmart@paytm, AvlBal:Rs2047.72",Financial - High Confidence,true,
+919619183585,2842545856854,2025-07-16T11:39:00,2025-07-16,11:39:00,873.38,Rs.,debit,aayushsingh66@okicici,"Ref:2842545856854, to aayushsingh66@okicici, AvlBal:Rs8763.07",Financial - High Confidence,true,
+919619183585,3877154843016,2024-04-08T17:00:59,2024-04-08,17:00:59,3433.68,Rs,debit,uber.987@okaxis,"Ref:3877154843016, to uber.987@okaxis, AvlBal:Rs6275.45",Financial - High Confidence,true,UPI
+919619183585,1151720829984,2024-08-28T22:58:48,2024-08-28,22:58:48,1828.83,Rs.,debit,starbucks@axis,"Ref:1151720829984, to starbucks@axis, AvlBal:Rs9587.17",Financial - High Confidence,true,
+919619183585,784926633778,2025-06-13T09:07:36,2025-06-13,09:07:36,1637.40,INR,debit,uber.987@okaxis,"Ref:784926633778, to uber.987@okaxis, AvlBal:Rs14292.42",Financial - High Confidence,true,UPI
+919619183585,4665475545976,2024-01-26T03:59:27,2024-01-26,03:59:27,1731.04,Rs.,debit,zomatopay@apl,"Ref:4665475545976, to zomatopay@apl, AvlBal:Rs5593.07",Financial - High Confidence,true,UPI
+919619183585,4416203738215,2025-03-11T11:37:49,2025-03-11,11:37:49,50089.81,Rs,credit,company.payroll@icici,"Ref:4416203738215, AvlBal:Rs11915.04",Financial - High Confidence,true,UPI
+919619183585,5456521088812,2025-02-22T10:06:58,2025-02-22,10:06:58,1912.02,Rs.,debit,zomatopay@apl,"Ref:5456521088812, to zomatopay@apl, AvlBal:Rs4112.28",Financial - High Confidence,true,
+919619183585,1243981438048,2024-10-30T17:11:04,2024-10-30,17:11:04,460.39,Rs.,debit,aayushsingh66@okicici,"Ref:1243981438048, to aayushsingh66@okicici, AvlBal:Rs3695.81",Financial - High Confidence,true,UPI
+919619183585,4159981665175,2025-03-31T11:40:36,2025-03-31,11:40:36,3096.42,Rs.,debit,apollo.pharma@axis,"Ref:4159981665175, to apollo.pharma@axis, AvlBal:Rs9438.31",Financial - High Confidence,true,UPI
+919619183585,1453559575331,2025-08-18T00:13:22,2025-08-18,00:13:22,3427.22,INR,debit,bookmyshow@apl,"Ref:1453559575331, to bookmyshow@apl, AvlBal:Rs948.45",Financial - High Confidence,true,UPI
+919619183585,5746496297551,2024-04-16T11:39:12,2024-04-16,11:39:12,3499.62,Rs,debit,zomatopay@apl,"Ref:5746496297551, to zomatopay@apl, AvlBal:Rs3709.11",Financial - High Confidence,true,UPI
+919619183585,5183436727371,2024-11-20T02:41:40,2024-11-20,02:41:40,890.33,INR,debit,vi.recharge@kotak,"Ref:5183436727371, to vi.recharge@kotak, AvlBal:Rs8911.53",Financial - High Confidence,true,UPI
+919619183585,4333069915400,2024-02-17T21:30:26,2024-02-17,21:30:26,1829.14,INR,debit,nykaa@hdfc,"Ref:4333069915400, to nykaa@hdfc, AvlBal:Rs9936.19",Financial - High Confidence,true,
+919619183585,5418300664187,2025-02-21T17:58:36,2025-02-21,17:58:36,324.41,Rs.,debit,bses@paytm,"Ref:5418300664187, to bses@paytm, AvlBal:Rs5695.97",Financial - High Confidence,true,UPI
+919619183585,797879075404,2025-08-14T03:09:28,2025-08-14,03:09:28,3802.03,INR,credit,gpay.rewards@okhdfc,"Ref:797879075404, AvlBal:Rs5182.24",Financial - High Confidence,true,UPI
mill-chat,01048a0d-02ec-49d5-bd6a-095eb36d2bed,2024-04-08T03:52:47,2024-04-08,03:52:47,76624.68,Rs.,credit,company.payroll@icici,Salary,Salary,true,
mill-chat,f3c3fe6b-bb13-4d93-a4e0-4292c1007d92,2024-03-08T17:22:57,2024-03-08,17:22:57,643.36,INR,credit,amazon.refunds@paytm,Refund,Refund,true,
+919619183585,5682432649144,2024-03-02T05:18:32,2024-03-02,05:18:32,73.53,INR,debit,netmeds@kotak,"Ref:5682432649144, to netmeds@kotak, AvlBal:Rs7620.72",Financial - High Confidence,true,UPI
+919619183585,950638563634,2024-04-04T13:33:45,2024-04-04,13:33:45,44370.84,INR,credit,company.payroll@icici,"Ref:950638563634, AvlBal:Rs11228.97",Financial - High Confidence,true,UPI
mill-chat,ebd2bca0-b940-4555-9cd0-d626cdf07765,2025-10-07T20:13:27,2025-10-07,20:13:27,1449.45,Rs.,credit,,Pocket Money,Pocket Money,true,
+919619183585,4685213460343,2025-03-06T22:55:12,2025-03-06,22:55:12,823.62,Rs,debit,nafisahamd95@okicici,"Ref:4685213460343, to nafisahamd95@okicici, AvlBal:Rs4933.44",Financial - High Confidence,true,UPI
+919619183585,1542385161175,2024-11-20T14:23:36,2024-11-20,14:23:36,915.64,Rs,debit,bses@paytm,"Ref:1542385161175, to bses@paytm, AvlBal:Rs1737.84",Financial - High Confidence,true,UPI
+919619183585,3655924860714,2024-02-26T16:26:36,2024-02-26,16:26:36,1238.61,Rs,credit,some.friend35@okhdfc,"Ref:3655924860714, AvlBal:Rs280.11",Financial - High Confidence,true,UPI
+919619183585,3669117208164,2024-06-22T17:15:33,2024-06-22,17:15:33,3103.14,Rs.,debit,nafisahamd95@okicici,"Ref:3669117208164, to nafisahamd95@okicici, AvlBal:Rs12091.07",Financial - High Confidence,true,
mill-chat,e14c629d-eac5-48f0-83cd-1a24e006ce19,2024-07-23T07:40:43,2024-07-23,07:40:43,2068.19,Rs.,debit,vi.recharge@kotak,Bills & Utilities,Bills & Utilities,true,
+919619183585,5432638870112,2024-01-13T09:57:50,2024-01-13,09:57:50,1985.68,Rs.,debit,flipkart@apl,"Ref:5432638870112, to flipkart@apl, AvlBal:Rs9891.70",Financial - High Confidence,true,
+919619183585,1850812716551,2024-11-13T04:27:53,2024-11-13,04:27:53,4346.44,Rs.,credit,gpay.rewards@okhdfc,"Ref:1850812716551, AvlBal:Rs10511.50",Financial - High Confidence,true,UPI
+919619183585,5341370372125,2024-12-06T17:28:04,2024-12-06,17:28:04,72925.60,Rs.,credit,company.payroll@icici,"Ref:5341370372125, AvlBal:Rs12329.77",Financial - High Confidence,true,UPI
+919619183585,3994101810128,2024-02-23T21:20:59,2024-02-23,21:20:59,290.42,INR,debit,ola.cabs@icici,"Ref:3994101810128, to ola.cabs@icici, AvlBal:Rs12134.50",Financial - High Confidence,true,UPI
+919619183585,4053945188107,2025-10-08T09:42:58,2025-10-08,09:42:58,704.60,Rs.,debit,bookmyshow@apl,"Ref:4053945188107, to bookmyshow@apl, AvlBal:Rs3994.54",Financial - High Confidence,true,UPI
+919619183585,4704330748335,2025-08-19T12:30:18,2025-08-19,12:30:18,1249.06,INR,debit,bestbus@sbi,"Ref:4704330748335, to bestbus@sbi, AvlBal:Rs6309.08",Financial - High Confidence,true,UPI
+919619183585,2930876473626,2025-07-22T15:48:51,2025-07-22,15:48:51,1303.31,Rs,debit,bses@paytm,"Ref:2930876473626, to bses@paytm, AvlBal:Rs4548.64",Financial - High Confidence,true,UPI
+919619183585,605958165051,2025-07-28T06:05:25,2025-07-28,06:05:25,791.29,Rs.,credit,gpay.rewards@okhdfc,"Ref:605958165051, AvlBal:Rs12319.33",Financial - High Confidence,true,UPI
+919619183585,5344712067458,2024-04-11T16:15:27,2024-04-11,16:15:27,1577.12,Rs,debit,myntra@okicici,"Ref:5344712067458, to myntra@okicici, AvlBal:Rs6167.45",Financial - High Confidence,true,
mill-chat,f00d24a5-3264-40c0-9998-474929540c94,2024-09-02T13:43:52,2024-09-02,13:43:52,3273.01,INR,debit,ola.cabs@icici,Transportation,Transportation,true,
+919619183585,4059976310699,2024-06-26T20:29:26,2024-06-26,20:29:26,822.32,INR,debit,spotify.india@okhdfc,"Ref:4059976310699, to spotify.india@okhdfc, AvlBal:Rs4662.34",Financial - High Confidence,true,UPI
+919619183585,686388625327,2024-08-07T22:38:34,2024-08-07,22:38:34,626.44,Rs.,debit,apollo.pharma@axis,"Ref:686388625327, to apollo.pharma@axis, AvlBal:Rs5268.27",Financial - High Confidence,true,UPI
+919619183585,4275672353068,2025-02-09T01:15:09,2025-02-09,01:15:09,2042.83,Rs,debit,netflix@icici,"Ref:4275672353068, to netflix@icici, AvlBal:Rs7122.91",Financial - High Confidence,true,UPI
+919619183585,4149048030095,2024-11-14T06:13:04,2024-11-14,06:13:04,301.50,Rs,debit,spotify.india@okhdfc,"Ref:4149048030095, to spotify.india@okhdfc, AvlBal:Rs5145.09",Financial - High Confidence,true,
+919619183585,5042292854028,2025-03-31T09:39:17,2025-03-31,09:39:17,1239.92,Rs,debit,mahanagargas@sbi,"Ref:5042292854028, to mahanagargas@sbi, AvlBal:Rs6205.47",Financial - High Confidence,true,UPI
+919619183585,3940000417270,2024-09-05T17:48:37,2024-09-05,17:48:37,2780.25,Rs.,debit,flipkart@apl,"Ref:3940000417270, to flipkart@apl, AvlBal:Rs9044.92",Financial - High Confidence,true,UPI
mill-chat,7b5fe776-b274-4203-96ee-294eb0d6e604,2024-09-15T06:29:30,2024-09-15,06:29:30,48.53,Rs,debit,bigbasket@icici,Groceries,Groceries,true,
+919619183585,4108601429308,2025-03-07T02:28:20,2025-03-07,02:28:20,183.91,Rs.,debit,mcdonalds@paytm,"Ref:4108601429308, to mcdonalds@paytm, AvlBal:Rs5897.95",Financial - High Confidence,true,UPI
+919619183585,1996791529352,2025-09-20T10:24:06,2025-09-20,10:24:06,146.53,Rs,debit,netmeds@kotak,"Ref:1996791529352, to netmeds@kotak, AvlBal:Rs6899.28",Financial - High Confidence,true,
+919619183585,657277763891,2025-04-03T20:09:39,2025-04-03,20:09:39,3260.93,Rs,debit,amazon@paytm,"Ref:657277763891, to amazon@paytm, AvlBal:Rs6696.18",Financial - High Confidence,true,UPI
+919619183585,3908732711578,2025-10-01T11:39:49,2025-10-01,11:39:49,643.00,Rs.,debit,myntra@okicici,"Ref:3908732711578, to myntra@okicici, AvlBal:Rs11649.81",Financial - High Confidence,true,
mill-chat,6d291b0e-0025-4130-860d-f76a29eede70,2024-07-04T01:11:11,2024-07-04,01:11:11,3117.92,INR,credit,,Pocket Money,Pocket Money,true,
+919619183585,4255715767550,2024-03-20T08:28:12,2024-03-20,08:28:12,1086.73,INR,debit,bses@paytm,"Ref:4255715767550, to bses@paytm, AvlBal:Rs11469.65",Financial - High Confidence,true,
mill-chat,bab61829-5a6e-4d5d-923b-5f4d390906c3,2024-08-20T23:50:06,2024-08-20,23:50:06,3164.96,INR,debit,zepto.payments@ybl,Groceries,Groceries,true,
+919619183585,5474615789914,2025-02-07T07:42:06,2025-02-07,07:42:06,2497.54,INR,debit,amazon@paytm,"Ref:5474615789914, to amazon@paytm, AvlBal:Rs9497.69",Financial - High Confidence,true,
+919619183585,1854730879143,2024-12-04T18:39:40,2024-12-04,18:39:40,1248.83,INR,debit,zepto.payments@ybl,"Ref:1854730879143, to zepto.payments@ybl, AvlBal:Rs11912.41",Financial - High Confidence,true,
+919619183585,2918312997668,2024-06-13T17:41:22,2024-06-13,17:41:22,556.85,Rs.,debit,vi.recharge@kotak,"Ref:2918312997668, to vi.recharge@kotak, AvlBal:Rs14459.50",Financial - High Confidence,true,
mill-chat,771efd18-4170-42f2-b57a-d4829a8736b5,2024-02-25T19:24:20,2024-02-25,19:24:20,1007.88,INR,debit,dmart@paytm,Groceries,Groceries,true,
+919619183585,1138156134505,2024-05-05T07:48:55,2024-05-05,07:48:55,983.13,Rs,debit,apollo.pharma@axis,"Ref:1138156134505, to apollo.pharma@axis, AvlBal:Rs9294.71",Financial - High Confidence,true,UPI
mill-chat,f5d03ca4-54df-4760-8134-cffa57a75c06,2024-03-26T13:44:57,2024-03-26,13:44:57,840.25,Rs.,credit,some.friend35@okhdfc,From Friend,From Friend,true,
mill-chat,64ecfb47-a448-4964-9c93-db4acf99a525,2025-05-03T02:40:28,2025-05-03,02:40:28,3241.56,Rs.,debit,zepto.payments@ybl,Groceries,Groceries,true,
mill-chat,83a846aa-52e9-4973-b8fc-38cb5e2b491c,2025-09-23T19:02:40,2025-09-23,19:02:40,692.72,Rs.,credit,gpay.rewards@okhdfc,Cashback,Cashback,true,
+919619183585,2789608650936,2025-05-25T22:50:15,2025-05-25,22:50:15,1092.92,Rs.,debit,netflix@icici,"Ref:2789608650936, to netflix@icici, AvlBal:Rs11772.75",Financial - High Confidence,true,
+919619183585,5229646407216,2025-10-08T08:06:02,2025-10-08,08:06:02,1276.09,Rs,debit,swiggy@okhdfc,"Ref:5229646407216, to swiggy@okhdfc, AvlBal:Rs4415.36",Financial - High Confidence,true,
+919619183585,2441857273201,2024-03-09T15:32:01,2024-03-09,15:32:01,2836.59,Rs.,debit,zepto.payments@ybl,"Ref:2441857273201, to zepto.payments@ybl, AvlBal:Rs8369.65",Financial - High Confidence,true,
+919619183585,5991660738470,2025-04-20T20:48:17,2025-04-20,20:48:17,1364.91,INR,debit,bigbasket@icici,"Ref:5991660738470, to bigbasket@icici, AvlBal:Rs9607.30",Financial - High Confidence,true,UPI
+919619183585,6558254516737,2025-09-15T22:19:36,2025-09-15,22:19:36,3125.78,Rs,credit,gpay.rewards@okhdfc,"Ref:6558254516737, AvlBal:Rs3696.93",Financial - High Confidence,true,UPI
+919619183585,3689129408614,2024-06-11T03:41:27,2024-06-11,03:41:27,3731.83,INR,credit,amazon.refunds@paytm,"Ref:3689129408614, AvlBal:Rs11814.86",Financial - High Confidence,true,UPI
mill-chat,38a099ec-3512-404e-aab4-67e66711aa27,2024-01-03T04:53:08,2024-01-03,04:53:08,2195.51,Rs.,credit,gpay.rewards@okhdfc,Cashback,Cashback,true,
mill-chat,a0bc6b7d-b44b-4664-bbff-bfd3bbbffdf3,2025-07-16T15:23:31,2025-07-16,15:23:31,34168.44,Rs,credit,company.payroll@icici,Salary,Salary,true,
+919619183585,3412053832273,2025-03-28T23:28:34,2025-03-28,23:28:34,306.94,Rs,debit,dmart@paytm,"Ref:3412053832273, to dmart@paytm, AvlBal:Rs1687.05",Financial - High Confidence,true,
+919619183585,610783972243,2024-10-26T02:38:31,2024-10-26,02:38:31,2098.90,INR,debit,bigbasket@icici,"Ref:610783972243, to bigbasket@icici, AvlBal:Rs14433.83",Financial - High Confidence,true,
+919619183585,4491375344600,2025-09-12T15:12:59,2025-09-12,15:12:59,2664.10,Rs,debit,yash.s17@ybl,"Ref:4491375344600, to yash.s17@ybl, AvlBal:Rs7935.87",Financial - High Confidence,true,UPI
+919619183585,4997541391923,2025-01-20T20:00:30,2025-01-20,20:00:30,1493.68,Rs,debit,mumbaimetro@sbi,"Ref:4997541391923, to mumbaimetro@sbi, AvlBal:Rs5440.36",Financial - High Confidence,true,
+919619183585,875740178755,2025-08-09T17:19:08,2025-08-09,17:19:08,1449.29,Rs.,debit,uber.987@okaxis,"Ref:875740178755, to uber.987@okaxis, AvlBal:Rs10365.95",Financial - High Confidence,true,UPI
+919619183585,4539603914290,2024-08-23T13:54:03,2024-08-23,13:54:03,467.43,Rs.,debit,spotify.india@okhdfc,"Ref:4539603914290, to spotify.india@okhdfc, AvlBal:Rs2056.51",Financial - High Confidence,true,UPI
+919619183585,2304051217357,2024-01-18T15:47:32,2024-01-18,15:47:32,997.73,Rs.,debit,mcdonalds@paytm,"Ref:2304051217357, to mcdonalds@paytm, AvlBal:Rs908.80",Financial - High Confidence,true,UPI
+919619183585,6683028020886,2024-09-02T03:31:14,2024-09-02,03:31:14,75837.75,Rs.,credit,company.payroll@icici,"Ref:6683028020886, AvlBal:Rs8463.21",Financial - High Confidence,true,UPI
mill-chat,4b779e12-f08e-4de5-b94e-8c7c34957bcb,2025-03-25T00:10:21,2025-03-25,00:10:21,2166.69,Rs.,debit,mumbaimetro@sbi,Transportation,Transportation,true,
+919619183585,1013668221758,2024-11-23T21:07:14,2024-11-23,21:07:14,1513.68,INR,debit,yash.s17@ybl,"Ref:1013668221758, to yash.s17@ybl, AvlBal:Rs537.74",Financial - High Confidence,true,
+919619183585,1756534362508,2024-05-20T00:29:14,2024-05-20,00:29:14,1855.31,INR,debit,nafisahamd95@okicici,"Ref:1756534362508, to nafisahamd95@okicici, AvlBal:Rs3797.30",Financial - High Confidence,true,UPI
mill-chat,b7fa6f91-c5c7-4350-b9a9-0eed22e5f0d9,2025-04-14T18:12:49,2025-04-14,18:12:49,724.71,INR,debit,flipkart@apl,Shopping,Shopping,true,
+919619183585,3651717667365,2025-07-06T05:27:04,2025-07-06,05:27:04,1642.41,Rs.,debit,netmeds@kotak,"Ref:3651717667365, to netmeds@kotak, AvlBal:Rs904.09",Financial - High Confidence,true,
+919619183585,2060911187370,2025-05-24T13:44:43,2025-05-24,13:44:43,2965.31,INR,debit,aayushsingh66@okicici,"Ref:2060911187370, to aayushsingh66@okicici, AvlBal:Rs4827.96",Financial - High Confidence,true,UPI
+919619183585,2927986460632,2024-08-22T12:01:55,2024-08-22,12:01:55,2362.38,Rs,debit,vi.recharge@kotak,"Ref:2927986460632, to vi.recharge@kotak, AvlBal:Rs2741.25",Financial - High Confidence,true,UPI
+919619183585,3754557122552,2024-04-28T20:20:21,2024-04-28,20:20:21,108.61,Rs,debit,mcdonalds@paytm,"Ref:3754557122552, to mcdonalds@paytm, AvlBal:Rs11195.23",Financial - High Confidence,true,
+919619183585,1630991987477,2024-12-10T14:50:55,2024-12-10,14:50:55,2593.24,Rs,credit,gpay.rewards@okhdfc,"Ref:1630991987477, AvlBal:Rs14496.34",Financial - High Confidence,true,UPI
+919619183585,3272122878977,2024-11-13T00:52:07,2024-11-13,00:52:07,1678.29,INR,credit,gpay.rewards@okhdfc,"Ref:3272122878977, AvlBal:Rs8449.02",Financial - High Confidence,true,UPI
+919619183585,788912188456,2025-01-27T16:30:40,2025-01-27,16:30:40,1991.89,Rs.,credit,amazon.refunds@paytm,"Ref:788912188456, AvlBal:Rs2071.54",Financial - High Confidence,true,UPI
+919619183585,4853382969147,2025-08-20T22:38:07,2025-08-20,22:38:07,3455.55,Rs,debit,netmeds@kotak,"Ref:4853382969147, to netmeds@kotak, AvlBal:Rs1127.57",Financial - High Confidence,true,UPI
+919619183585,1867073698936,2024-10-18T06:41:54,2024-10-18,06:41:54,3091.73,Rs,debit,nafisahamd95@okicici,"Ref:1867073698936, to nafisahamd95@okicici, AvlBal:Rs8169.78",Financial - High Confidence,true,
+919619183585,1646435361251,2025-09-11T18:32:19,2025-09-11,18:32:19,1814.65,INR,debit,netflix@icici,"Ref:1646435361251, to netflix@icici, AvlBal:Rs2674.76",Financial - High Confidence,true,UPI
+919619183585,4935603391830,2024-05-31T05:43:35,2024-05-31,05:43:35,2484.95,INR,debit,zomatopay@apl,"Ref:4935603391830, to zomatopay@apl, AvlBal:Rs14946.80",Financial - High Confidence,true,
+919619183585,4908184766091,2024-04-17T17:42:31,2024-04-17,17:42:31,2314.19,INR,debit,uber.987@okaxis,"Ref:4908184766091, to uber.987@okaxis, AvlBal:Rs2860.90",Financial - High Confidence,true,UPI
+919619183585,3390029375999,2024-12-26T10:54:38,2024-12-26,10:54:38,246.59,Rs,debit,mahanagargas@sbi,"Ref:3390029375999, to mahanagargas@sbi, AvlBal:Rs12048.29",Financial - High Confidence,true,UPI
mill-chat,c9d404d5-ccf1-471a-8c3b-f30a47fbe000,2024-08-11T07:35:47,2024-08-11,07:35:47,4623.49,Rs,credit,,Pocket Money,Pocket Money,true,
+919619183585,2218447234516,2025-08-19T23:34:18,2025-08-19,23:34:18,2565.87,Rs.,debit,ola.cabs@icici,"Ref:2218447234516, to ola.cabs@icici, AvlBal:Rs1300.83",Financial - High Confidence,true,
mill-chat,ce35f335-83e8-4341-b00e-04b152d53d1e,2024-04-03T13:09:57,2024-04-03,13:09:57,1341.61,Rs.,debit,netmeds@kotak,Health,Health,true,
+919619183585,925197558750,2024-02-08T15:17:21,2024-02-08,15:17:21,240.92,Rs.,debit,netflix@icici,"Ref:925197558750, to netflix@icici, AvlBal:Rs12602.05",Financial - High Confidence,true,UPI
+919619183585,1507847185093,2024-06-05T12:46:52,2024-06-05,12:46:52,2229.84,Rs.,debit,apollo.pharma@axis,"Ref:1507847185093, to apollo.pharma@axis, AvlBal:Rs244.46",Financial - High Confidence,true,
+919619183585,4369811729200,2024-01-15T01:40:34,2024-01-15,01:40:34,2921.90,Rs,debit,myntra@okicici,"Ref:4369811729200, to myntra@okicici, AvlBal:Rs258.25",Financial - High Confidence,true,UPI
+919619183585,4923142028427,2024-08-11T00:57:02,2024-08-11,00:57:02,1335.04,Rs.,debit,flipkart@apl,"Ref:4923142028427, to flipkart@apl, AvlBal:Rs4970.46",Financial - High Confidence,true,UPI
+919619183585,790005304906,2024-12-29T01:56:02,2024-12-29,01:56:02,980.26,Rs.,debit,bses@paytm,"Ref:790005304906, to bses@paytm, AvlBal:Rs2654.14",Financial - High Confidence,true,
+919619183585,4916699156575,2025-10-03T06:25:46,2025-10-03,06:25:46,696.20,Rs.,debit,vi.recharge@kotak,"Ref:4916699156575, to vi.recharge@kotak, AvlBal:Rs8032.91",Financial - High Confidence,true,
+919619183585,899220204503,2024-03-12T21:45:18,2024-03-12,21:45:18,3253.92,Rs,debit,myntra@okicici,"Ref:899220204503, to myntra@okicici, AvlBal:Rs3348.40",Financial - High Confidence,true,
mill-chat,f469febf-d4b4-4866-8ebd-f15ad5997675,2024-09-12T11:38:25,2024-09-12,11:38:25,78031.97,INR,credit,company.payroll@icici,Salary,Salary,true,
+919619183585,2336382871326,2024-07-20T03:58:00,2024-07-20,03:58:00,231.31,Rs,debit,mumbaimetro@sbi,"Ref:2336382871326, to mumbaimetro@sbi, AvlBal:Rs7791.27",Financial - High Confidence,true,UPI
+919619183585,5936187253073,2025-09-30T18:49:15,2025-09-30,18:49:15,3037.49,Rs,debit,amazon@paytm,"Ref:5936187253073, to amazon@paytm, AvlBal:Rs5023.91",Financial - High Confidence,true,UPI
+919619183585,4454421390750,2025-01-12T11:43:37,2025-01-12,11:43:37,706.65,Rs.,debit,netmeds@kotak,"Ref:4454421390750, to netmeds@kotak, AvlBal:Rs8133.34",Financial - High Confidence,true,UPI
+919619183585,5073129985976,2025-05-12T01:03:35,2025-05-12,01:03:35,2128.74,Rs,debit,swiggy@okhdfc,"Ref:5073129985976, to swiggy@okhdfc, AvlBal:Rs2377.10",Financial - High Confidence,true,UPI
mill-chat,b4ea4b82-a3ee-4a32-8690-43b75b097be7,2024-05-25T01:58:37,2024-05-25,01:58:37,1071.40,INR,credit,,Pocket Money,Pocket Money,true,
+919619183585,3408027320474,2024-03-02T16:10:08,2024-03-02,16:10:08,2366.30,Rs.,debit,zomatopay@apl,"Ref:3408027320474, to zomatopay@apl, AvlBal:Rs8274.55",Financial - High Confidence,true,
+919619183585,723929879963,2025-10-04T18:06:06,2025-10-04,18:06:06,1314.48,Rs.,debit,mumbaimetro@sbi,"Ref:723929879963, to mumbaimetro@sbi, AvlBal:Rs2457.15",Financial - High Confidence,true,
+919619183585,3431415682045,2025-03-28T07:34:19,2025-03-28,07:34:19,299.90,INR,debit,apollo.pharma@axis,"Ref:3431415682045, to apollo.pharma@axis, AvlBal:Rs13684.20",Financial - High Confidence,true,UPI
+919619183585,2839275229146,2025-03-25T00:32:02,2025-03-25,00:32:02,919.09,Rs,debit,starbucks@axis,"Ref:2839275229146, to starbucks@axis, AvlBal:Rs6966.21",Financial - High Confidence,true,UPI
+919619183585,1084168073330,2025-09-04T14:18:50,2025-09-04,14:18:50,1522.93,INR,debit,netmeds@kotak,"Ref:1084168073330, to netmeds@kotak, AvlBal:Rs258.59",Financial - High Confidence,true,
+919619183585,4543011884270,2025-07-29T18:06:33,2025-07-29,18:06:33,616.34,INR,debit,yash.s17@ybl,"Ref:4543011884270, to yash.s17@ybl, AvlBal:Rs7598.41",Financial - High Confidence,true,
+919619183585,1892073359851,2025-09-29T22:18:55,2025-09-29,22:18:55,3206.63,Rs,debit,netflix@icici,"Ref:1892073359851, to netflix@icici, AvlBal:Rs12593.12",Financial - High Confidence,true,UPI
mill-chat,52fa6fbf-4847-4e9f-9d0a-6d63316abd37,2025-02-11T19:44:00,2025-02-11,19:44:00,2823.65,Rs,debit,vi.recharge@kotak,Bills & Utilities,Bills & Utilities,true,
